82,월급이 평생 오르는 미국 배당주에 투자하라 (무한계단처럼 제2의 소득이 쌓이는 기적의 월배당 시스템),이의석,21600,알에이치코리아
83,내 주식에게 일어날 수 있는 모든 일 (주식 투자 하기 전에 가장 먼저 알아야 할 것들),선진호,16200,올드스테어즈
84,미국주식 어떤 기업에 투자할 것인가 (앞으로 10년을 이끌어갈 히든 챔피언을 찾아라!),고은미,19800,토네이도
85,워런 버핏의 2단계 주식투자 전략 (처음 만나는 가치투자 교과서),"Jiwani, Danial",17010,동아엠앤비
86,실전 증권사관학교 X파일 (종목 발굴 이렇게 하라!),장진영,22500,이레미디어
87,주도섹터 돌파매매 전략 (전미투자대회 우승자들의 핵심 매매 기법 2),김대현,23220,이레미디어
88,투자의 기술 (글로벌 IB 7개사에서 30년 동안 투자 경험을 축적한 트레이더 김준승),김준송,19350,연합인포맥스북스
89,주식투자의 9할은 심리 싸움이다 (투자 심리로 해부한 ‘주식투자의 본성!’),리처드 L. 피터슨,22500,스마트비즈니스
90,나는 미국 월배당 ETF로 40대에 은퇴한다 (7천만 원으로 월 2백만 원 받는 연 30% 이상 초고배당의 비밀),최영민,16920,지음미디어
91,실패를 성공으로 바꾸는 주식투자의 기술(불장에디션) (초보 투자자를 위한 부자아빠의 핵심 트레이닝),정재호,18900,프런트페이지
92,추세 추종 트레이딩 비법 (세상에서 가장 안전하게 매일 1% 수익 내는),Richard Kwon,22500,두드림미디어
93,한 번 배우면 평생 써먹는 ETF 투자법 (수익에 필요한 것만 배우고 바로 시작하자),윤타(윤영준),18900,동양북스
94,나만의 투자 루틴을 완성하는 미주부 주식 투자 수업 (데이터와 시스템으로 사고하는 미주부 템플릿 200% 활용법),김훈,18000,이든하우스
95,1%를 읽는 매크로 투자 주식의 코드 (1%를 읽는 매크로 투자),주식의 코드,21600,베가북스
96,윌리엄 오닐의 공매도 투자 기법(리커버) (최적의 매도 타이밍에 관한 모든 것),윌리엄 J. 오닐^길 모랄레스,18900,이레미디어
97,AI 로봇 반도체 BIG 3 투자 트렌드 (트렌드에 숨겨진 비즈니스와 투자의 해답),최중혁^이상진^최민규^허진^서민교,22500,한스미디어
98,워너비 투자자 (첫 주식을 사기 전에 반드시 알아야 할 투자 레슨 40),앤 마리 사바스,19350,동양북스
99,미국 주식 투자 (2030~40년에도 성장이 멈추지 않는다),오카모토 헤이하치로,16200,지상사
100,ETF 투자의 모든 것(큰글자도서) (당수익과 주가수익 다 잡는 제2의 소득 파이프라인),문일호,37830,매일경제신문사
101,"한국 주식 5차 파동 (김대중, 노무현, 이명박, 문재인, 그리고 이재명까지 투자자가 기억해야 할 한국증시의 반복된 역사들)",효라클(김성효),16200,잇콘
102,초보자를 위한 투자의 정석(큰글자도서) (우석이 알려주는 실패하지 않는 주식투자법),브라운스톤(우석),32980,토트
103,챗GPT 주식투자 사용설명서 (실전ㆍ실습ㆍ실무에서 바로 써먹는 금융 프롬프트 67),황인환^허반석,16200,여의도책방
104,"트레이딩은 트레이닝이다 이론 편 (종목 선정부터 매수, 매도까지, 반복 가능한 트레이딩 훈련법)",장영한^조우태,45000,두드림미디어
105,"AI 시대, 챗GPT는 쓰지만 엔비디아는 놓쳤습니다 (미국 주식부터 ETF, 비트코인까지, 월급으로 시작하는 5단계 투자 로드맵)",백승호,17820,북아지트
106,"혼돈 속의 혼돈(큰글자도서) (1688, 세계 최초의 주식투자 설명서!)",조셉 드 라 베가,32980,스마트비즈니스
107,패시브 투자의 최종 승자 ETF (독일 최고 금융채널 피난츠플루스 토마스 켈의 안전한 패시브 전략),토마스 켈^모나 린케,19800,나무생각
108,"배당성장주 투자 불변의 법칙 (평생 월급 1,000만 원 받는 배당투자 시크릿)",현영준(한라산불곰),17820,체인지업
109,2025 상장기업 업종 지도 (주식 투자자를 위한 종목 발굴 내비게이션),박찬일,20700,에프엔미디어
110,읽으면 돈이 되는 반도체주 투자지도,곽유정,16200,메이트북스
111,호모 겜블러 (Homo Gambler),이시선,15000,부크크(bookk)
112,실패를 성공으로 바꾸는 주식투자의 기술(큰글자도서) (초보 투자자를 위한 부자아빠의 핵심 트레이닝),정재호,35890,프런트페이지
113,버튼만 누르면 수익이 돌아간다,김정수,23400,하움출판사
114,대한민국 투자자를 위한 미국 주식 불패 공식 (현직 해외 주식 전문 PB 연수르의 실전 투자 생중계),김연수,21600,비즈니스북스
115,캔들차트 사용설명서 (거래의 신이 전수하는 매매의 기술),오자와 미노루,18000,여의도책방
116,주식시장 바로미터,윌리엄 피터 해밀턴,15120,굿모닝북스
117,최고의 주식 퀄리티 투자 (세계 최고 기업에 투자해 돈을 불리는 가장 확실한 방법),뤽 크루제,22500,부크온
118,이동 평균선 투자법 (차트 분석의 시작과 끝은 이동 평균선이다),고지로 강사,15300,이레미디어
119,마흔부터는 연금 공부 (평생을 설계하는 액티브 ETF 운용의 기술),김호균^도현수,19800,한스미디어
120,빠르게 읽고 바로 활용하는 전자공시 (위치로 읽는 전자공시 활용법),김종혁,18000,북오션
121,"IT 산업 트렌드 (AI, 테크부터 뉴스페이스까지, 미래를 선도하는 8가지 투자 로드맵)",이임복,18000,천그루숲
122,미국 주식 급등주 발굴법 (차트 활용으로 대박이 보이는),유지윤(터틀캠프),22500,북오션
123,"IT 산업 트렌드(큰글자책) (AI, 테크부터 뉴스페이스까지, 미래를 선도하는 8가지 투자 로드맵)",이임복,43200,천그루숲
124,"이웃집 워런 버핏, 숙향의 주식 투자 이야기(특별판) (한층 더 진화해 돌아온 투자 고수, 숙향이 안내하는 경제적 자유의 길)",숙향,20700,한스미디어
125,글로벌 주식 투자 빅 시프트 (핵심 산업 밸류체인 판이 바뀐다),메리츠증권 리서치센터,27621,에프엔미디어
126,"이승조의  4등분 주식 매매법 (4등분 법칙, 이것만 알면 노후 걱정 필요없다)",이승조,28800,메이트북스
127,개미대학 세력의 매집원가 구하기 완결판 (완결판),전석,18000,오베이북스
128,월 50만 원으로 8억 만드는 배당머신 (평생 든든한 배당주 월급 부자),평온^김지형,17100,이나우스북스
129,시장을 이긴 주식 대가의 성공 투자 비결 (주식 투자로 부자가 되고 싶은 여러분을 위한 주식 고수의 길라잡이),이한득,17100,좋은땅
130,보수적인 투자자는 마음이 편하다,필립 피셔,13320,굿모닝북스
131,트레이딩의 전설(큰글자도서) (실전투자대회 수상자 9인을 만나다),키움증권 채널K,38800,넥스트씨
132,데이트레이딩을 알면 주식 시장이 보인다,니카이도 시게토,16920,두드림미디어
133,주식 거인들에게 배우는 잃지 않는 투자 원칙 49(큰글자도서) (주식 대가들의 ‘원금보전 투자 철학’을 배운다!),김명환,38800,스마트비즈니스
134,5000포인트 시대를 위한 투자 대전환 (불확실한 시장을 꿰뚫는 통찰),김학균,19800,어바웃어북
135,제임스 몬티어의 가치투자 나침반 (100년의 시간이 증명한 ‘성공 투자 북극성!’),제임스 몬티어,25200,스마트비즈니스
136,미국 주식이 답이다 2026 (차근차근 부자 되는 미국 주식투자 입문서),장우석^이항영,23400,페이지2북스
137,나는 월급쟁이 배당 부자가 되었다 (배당투자로 월 300만 원 제2의 월급 만드는 시스템),환상감자(이은호),19800,길벗
138,박순혁의 K-주식 투자 바이블 (배터리 아저씨만의 10루타 주식 발견 노하우),박순혁,24300,애덤스미스
139,미국주식으로 만드는 두 번째 월급통장,최만수^선한결^맹진규,15300,메이트북스
140,"수익률 높이는 종목 선택법 (사야할 주식, 피해야 할 주식)",효라클(김성효),19800,황금부엉이
141,나는 미국 ETF로 해외여행 간다 (초보자를 위한 친절하고 안전한 미국 ETF 교과서),유지윤(터틀캠프),18000,북오션
142,원칙으로 수익 내는 단타의 기술 (상위 1% 주식 트레이더가 지킨 단 하나의 투자 비법),원정연(만쥬),19800,길벗
143,"투자는 심리게임이다 (코스톨라니의 투자카페, ’증권심리학’ 강의편)",앙드레 코스톨라니,13440,미래의창
144,초보도 수익나는 주식차트 심리분석 보는 법 (차트에 숨겨진 비밀을 알려주는 주식책),박영수^정동술,17100,율도국
145,미국주식 곡소리날때 매수하라,박지영,17000,부크크(bookk)
